barcode,brand,name,unit,quantity
9008700124195,Bravo,Nektar Jabuka,L,2.00
9008700145268,Bravo,Nektar Naranča,L,2.00
9008700232043,Bravo,Nektar naranča mrkva limun,L,2.00
9008700237857,Rauch,Sok Happy Day Sunshine Naranča,L,1.00
90087547,Happy Day,Sok od rajčice 100%,L,1.0
9008700181747,Happy Day,Nektar Breskva,L,1.00
9008700215312,Happy Day,Sok Happy Day Multivitamin,L,1.0
9008700218184,Happy Day,Sok Happy Day Family Jabuka,L,1.00
9008700218207,Happy Day,Sok Happy Day Jabuka,L,0.2
9008700141963,Yippy,Sok Yippy Multi,L,0.33
9008700141949,Yippy,Sok Yippy Naranča,L,0.33
9008700141918,Yippy,Sok Yippy Jabuka,L,0.33
9008700142007,Yippy,Yippy Višnja,L,0.33
9008700149242,Yippy,Sok Yippy Jabuka,L,0.2
9008700173582,Yippy,Sok Yippy Šumsko Voće,L,0.33
4009900460187,Skittles,Skittles Wild Berry bomboni,g,38
8594023923214,Valentić,Sok Surprise Jagoda,L,0.3
8594023921043,Valentić,Sok Surprise Multivitamin,L,0.3
8594023921050,Surprise,Sok Surprise Jabuka,L,0.30
3858890972214,Juicy,Juicy Vitamin Water Immuno Boost,L,0.5
3858890972245,Juicy,Juicy Vitamin Water Refresh,L,0.5
3858890974089,Juicy,Vitaminska voda Juicy Optimist,L,0.5
3858890974119,Juicy,Vitaminska voda Juicy Optimist,L,1.5
3858890976663,Juicy,Juicy Kids 100% Gusti,L,0.2
3858890976571,Juicy,Juicy Kids 100% Jabuka,L,0.2
3858890972184,Juicy,Juicy Kids Naranča-Mango,L,0.33
3858890979992,Juicy,Juicy Kids Šumsko Voće-Jabuka,L,0.33
3858890974164,Juicy,Juicy Kids Jagoda Kivi,L,0.33
3830084190611,Zala,Zala Negazirana Voda,L,0.5
3858890979008,Juicy,Sok Juicy Jabuka 100%,L,0.195
3858890979060,Juicy,Juicy Nektar Crni Ribiz,L,0.195
3858890979015,Juicy,Sok Naranča 100%,L,0.195
3858890979084,Juicy,Juicy Nektar Marelica,L,0.195
3858890974836,Juicy,Juicy Sok Naranča 100%,L,0.5
3858890974805,Juicy,Sok od jabuke 100%,L,0.5
3858890974867,Juicy,Sok od ananasa 100%,L,0.5
3858890974898,Juicy,Sok Juicy Gusti 100%,L,0.5
3858890977332,Juicy,Sok Juicy Jagoda 100%,L,1.00
3858890977684,Juicy,Sok Juicy Višnja Jabuka 100%,L,1.000
3858890970159,Juicy,Juicy Nektar Marelica-Breskva-Jabuka,L,1.00
3858890970302,Juicy,Juicy nektar crni ribiz,L,1.0
3858890970692,Juicy,Sok Juicy 100% Ananas,L,1.00
3858890970906,Juicy,Juicy Nektar Jabuka,L,1.0
3858890970364,Juicy,Juicy Multivitamin Nektar,L,1.00
3858890970005,Juicy,Juicy nektar naranča,L,1.0
3858890970425,Juicy,Sok Juicy Naranča 100%,L,1.00
3858890970999,Juicy,Juicy Nektar Ananas,L,1.00
3858890970630,Juicy,Juicy Nektar Brusnica Aronija,L,1.00
3858890975000,Juicy,Juicy Fruits Multivitamin ACE,L,1.5
3858890975031,Juicy,Juicy Fruits Multivitamin ACE,L,0.5
3858890975062,Juicy,Juicy Fruits Crvena Naranča ACE,L,1.5
3858890975123,Juicy,Juicy Fruits Naranča-Nektarina ACE,L,1.5
3858890975093,Juicy,Juicy Fruits Crvena Naranča,L,0.5
3858890975154,Juicy,Juicy Fruits Naranča Nektarina,L,0.5
3858890975185,Juicy Fruits,Juicy Fruits Limunada 1.5L,L,1.5
3858890977004,Juicy,Juicy Fruits Trešnja,L,0.5
3858890977035,Juicy,Juicy Fruits Trešnja,L,1.5
3858890978339,Juicy,Juicy Fruits Bazga Limun,L,0.5
3858890978360,Juicy,Juicy Fruits Bazga Limun,L,1.5
3871059000481,Jamnica,Sky Cola,L,2.0
3875000181656,Sky Cola,Sky Cola Zero,L,2.00
3858890970210,Juicy,Sok Juicy 100% Jabuka,L,1.0
3858890977356,Juicy,Juicy Gusti Sok 100%,L,1.00
3858890977349,Juicy,Sok Juicy Multivitamin 100%,L,1.00
3858890976243,Juicy,Sok Juicy 100% Super Bobice,L,1.0
3858890979220,Juicy,Juicy Nektar Naranča,L,2.00
3858890979817,Juicy,Juicy Nektar Multivitamin 2L,L,2.00
3858890979787,Juicy,Juicy Nektar Jabuka,L,2.00
3858890973006,To,Nektar naranča,L,1.00
3858890975482,To,To Sok Jabuka,L,1.00
3858890975512,To,Sok To Multivitamin Nektar,L,1.00
3858890973150,To,Nektar gusti,L,1.00
3858890976755,Juicy,To Naranča,L,0.2
3858890974669,Juicy,Sok TO B Višnja Jabuka,L,0.2
3858890974645,Juicy,Sok TO A Multivitamin,L,0.2
3871059000504,Sky,Sky Orange,L,2.0
3858890974225,Juicy,Juicy Fruits Malinada,L,1.5
3858890974195,Juicy,Juicy Fruits Malinada,L,0.5
3858890979930,Juicy,Juicy Ledeni Čaj Zeleni Čaj-Limeta-Menta,L,0.5
3858890977875,Juicy,Juicy ledeni čaj breskva,L,0.5
3858890977905,Juicy,Juicy ledeni čaj breskva,L,1.5
3858890977936,Juicy,Juicy ledeni čaj šumsko voće,L,0.5
3858890977967,Juicy,Ledeni čaj šumsko voće,L,1.5
3858890978278,Juicy,Juicy ledeni čaj limun,L,0.5
3858890978308,Juicy,Juicy ledeni čaj limun,L,1.5
3858890971194,Juicy,Juicy Fruits Zmajevo Voće,L,1.5
3858890971170,Juicy,Juicy Fruits Zmajevo Voće,L,0.5
3859888152038,Jamnica,Jamnica Gazirana Voda 0.25 L,L,0.25
3859888152663,Jamnica,Jamnica Gazirana Voda 0.75L,L,0.75
3858884601359,Jana,Voda Jana Negazirana Staklo,L,0.33
3859888152021,Jamnica,Jamnica Gazirana Voda 0.5 L,L,0.5
3859888152113,Jamnica,Jamnica Mineralna Voda Gazirana,L,0.5
3858884601830,Prosport,Prosport Izotonik Limun-Grejp,L,0.75
3858884602264,Jamnica,Jamnica Sensation Limeta-Kiwano,L,0.5
3858890871944,Jamnica,Pro Sport Super Fruits Izotonik,L,0.75
3858884602349,Jamnica,Jamnica Sensation Limeta Kiwano,L,1.5
3858884603957,Jamnica,Pro Sport Izotonik Naranča,L,0.75
3859888152014,Jamnica,Jamnica mineralna voda gazirana,L,1.0
3858890873054,Jamnica,Mineralna voda Jamnica gazirana 1 L,L,1.0
3858884602387,Jamnica,Jamnica Sensation Limeta Kiwano,L,0.25
3858890879827,Jamnica,Jamnica Sensation Lubenica Limeta,L,1.5
3859888152045,Jamnica,Jamnica Gazirana Mineralna Voda,L,1.5
3858884600055,Jana,Jana Prirodna Izvorska Voda,L,1.5
3858884600062,Jana,Jana Prirodna Izvorska Voda,L,0.5
3858884600932,Jana,Voda Jana Limun Limeta,L,0.5
3858884600956,Jana,Voda Jana Jagoda Guava,L,0.5
3858884600819,Jana,Voda Jana Limun-Limeta,L,1.5
3858884600871,Jana,Voda Jana Jagoda Guava,L,1.5
3858884600987,Jana,Voda Jana,L,1.00
3858884601373,Jana,Jana Mineralna Voda Negazirana,L,0.75
3858890873474,Jamnica,Jamnica Sensation Bazga Limun,L,0.5
3858890873443,Jamnica,Sensation Bazga Limun,L,1.5
3858890871975,Jana,Jana Vitamin Immuno Limun,L,0.5
3858890873085,Jana,Voda Jana Vitamin Immuno Limun,L,1.5
3858890874013,Jana,Voda Jana Vitamin Happy Naranča,L,0.5
3858890874044,Jana,Jana Vitamin Happy Naranča,L,1.5
3858890873207,Jana,Voda Jana Vitamin Immuno Limun,L,0.33
3858890873924,Jana,Voda Jana Vitamin Happy Naranča,L,0.33
3858890879230,Jana,Voda Jana Limeta Menta Zero,L,1.5
3858890875638,Jana,Jana Vitamin Antiox Crni Ribiz,L,0.5
3858890875607,Jana,Voda Jana Vitamin Antiox Crni Ribiz,L,1.5
3858890874570,Jana,Voda Jana Vitamin Refresh Menta Limeta,L,0.5
3858890874686,Jana,Voda Jana Vitamin Refresh Menta Limeta,L,1.5
3871059000078,Sarajevski Kiseljak,Sarajevski Kiseljak Mineralna Voda,L,1.5
3856028501992,Jamnica,Sara Riva Voda Prirodna Mineralna,L,6.00
8600599002816,Mivela,Mineralna voda Mivela gazirana,L,0.5
8600599002755,Mivela,Mivela Gazirana Voda,L,1.35
8600599002847,Mivela,Voda Mivela blago gazirana,L,0.5
8600599002786,Mivela,Mineralna voda Mivela blago gazirana,L,1.35
3858890877861,ProGame,ProGame Focus Mango Marelica 0.5 L,L,0.5
3856028500438,Pro Game,Pro Game Stamina Višnja,L,0.33
3858890874914,Jana,Jana Ledeni Čaj Breskva,L,0.33
3858890874976,Jana,Jana Ledeni Čaj Šumsko Voće Brusnica,L,0.33
3858884601045,Jana,Ledeni čaj Jana breskva,L,1.5
3858884601052,Jana,Jana Ledeni čaj breskva,L,0.5
3856028500223,Jana,Ledeni čaj Jana limun,L,1.5
3856028500254,Jana,Ledeni čaj Jana Limun,L,0.5
3858884601717,Jana,Jana ledeni čaj šumsko voće brusnica,L,1.5
3858884601731,Jana,Ledeni čaj šumsko voće/brusnica,L,0.5
3858890876390,Jana,Ledeni čaj malina hibiskus,L,0.5
3858890876321,Jana,Ledeni čaj malina hibiskus 1.5L,L,1.5
3856028501244,Jamnica,Sensation Tonic,L,0.5
3875000183278,Jamnica,Sensation Tonic,L,1.5
3858890878615,Toco,Sok Toco Multivitamin,L,1.5
3858890878790,Toco,"Sok naranča, mrkva, nektarina",L,1.5
3858890878974,Toco,Toco Crvena Naranča Avokado Cikla,L,1.5
3856028501060,Toco,Sok jabuka rabarbara,L,1.5
3856028501121,Toco,Sok Toco Limun Krastavac,L,1.5
3850257019020,Belje,Graševina Kvalitetno Vino,L,0.75
3850257019051,Belje,Vino Graševina Vrhunsko,L,0.75
